n376411	NONHSAT064215.2
n376420	NONHSAT066638.2
n376424	NONHSAT066905.2
n376425	NONHSAT066956.2
n376433	NONHSAT068391.2
n376434	NA
n376473	NONHSAT068218.2
n376477	NONHSAT061079.2
n376502	NONHSAT066637.2
n376504	NONHSAT068290.2
n376518	NONHSAT078845.2
n376522	NONHSAT078992.2
n376534	NONHSAT080112.2
n376544	NONHSAT079651.2
n376590	NA
n376755	NONHSAT080412.2
n376779	NONHSAT078075.2
n376979	NONHSAT081862.2
n376985	NONHSAT082933.2
n376991	NONHSAT082457.2
n377015	NONHSAT081240.2
n377137	NONHSAT081217.2
n377170	NONHSAT082269.2
n377214	NONHSAT081608.2
n377217	NONHSAT081927.2
n377236	NONHSAT082426.2
n377254	NONHSAT081046.2
n377284	NONHSAT082351.2
n377290	NONHSAT082431.2
n377295	NONHSAT082487.2
n377300	NA
n377310	NONHSAT084838.2
n377360	NONHSAT084833.2
n377416	NONHSAT083549.2
n377427	NA
n377456	NONHSAT085064.2
n377506	NONHSAT087199.2
n377541	NONHSAT086745.2
n377576	NONHSAT106648.2
n377577	NONHSAT107321.2
n377616	NONHSAT106653.2
n377639	NONHSAT033794.2
n377642	NONHSAT141949.2
n377651	NA
n377656	NONHSAT099430.2
n377659	NA
n377660	NONHSAT001063.2
n377664	NONHSAT133402.2
n377665	NA
n377669	NONHSAT033606.2
n377670	NA
n377672	NONHSAT072144.2
n377677	NA
n377678	NONHSAT047923.2
n377680	NA
n377683	NONHSAT040802.2
n377684	NA
n377707	NA
n377717	NA
n377720	NA
n377736	NONHSAT006105.2
n377740	NONHSAT059878.2
n377766	NONHSAT101269.2
n377769	NONHSAT125130.2
n377771	NONHSAT040800.2
n377788	NONHSAT072143.2
n377795	NA
n377799	NONHSAT007667.2
n377809	NONHSAT015218.2
n377813	NONHSAT135444.2
n377818	NA
n377827	NONHSAT001159.2
n377834	NONHSAT103210.2
n377837	NONHSAT108624.2
n377859	NONHSAT072152.2
n377862	NONHSAT079661.2
n377873	NONHSAT083038.2
n377897	NONHSAT008275.2
n377912	NONHSAT033790.2
n377916	NA
n377919	NONHSAT000162.2
n377923	NONHSAT002771.2
n377932	NONHSAT007691.2
n377954	NONHSAT000115.2
n377981	NONHSAT123374.2
n377982	NONHSAT007045.2
n377986	NONHSAT113313.2
n377988	NONHSAT000307.2
n378002	NONHSAT135078.2
n378007	NONHSAT007813.2
n378019	NONHSAT075758.2
n378039	NA
n378054	NONHSAT119635.2
n378063	NA
n378068	NONHSAT007698.2
n378090	NONHSAT001162.2
n378094	NONHSAT033804.2
n378100	NONHSAT083043.2
n378107	NONHSAT007673.2
n378108	NONHSAT007680.2
n378125	NA
n378136	NA
n378190	NONHSAT033787.2
n378201	NA
n378218	NONHSAT087354.2
n378238	NONHSAT093240.2
n378247	NONHSAT079231.2
n378252	NA
n378273	NONHSAT005301.2
n378277	NONHSAT000117.2
n378279	NONHSAT084637.2
n378287	NONHSAT084616.2
n378313	NONHSAT133716.2
n378317	NONHSAT089399.2
n378350	NONHSAT055342.2
n378352	NA
n378353	NONHSAT113863.2
n378366	NONHSAT007664.2
n378377	NONHSAT123370.2
n378384	NONHSAT073657.2
n378390	NONHSAT074544.2
n378414	NONHSAT123384.2
n378431	NONHSAT133389.2
n378478	NA
n378490	NONHSAT080392.2
n378503	NONHSAT075752.2
n378507	NONHSAT073202.2
n378509	NA
n378515	NA
n378517	NONHSAT120055.2
n378520	NONHSAT084621.2
n378555	NA
n378567	NONHSAT033791.2
n378572	NONHSAT075169.2
n378603	NONHSAT039428.2
n378619	NONHSAT095672.2
n378631	NA
n378699	NONHSAT005724.2
n378710	NA
n378714	NONHSAT064003.2
n378721	NA
n378726	NONHSAT116016.2
n378741	NONHSAT015183.2
n378749	NA
n378782	NA
n378795	NONHSAT069143.2
n378803	NONHSAT003716.2
n378840	NONHSAT081686.2
n378843	NONHSAT145752.2
n378866	NA
n378880	NONHSAT005346.2
n378912	NONHSAT097252.2
n378914	NONHSAT123385.2
n378945	NONHSAT075751.2
n379023	NONHSAT116018.2
n379043	NONHSAT005448.2
n379095	NONHSAT134524.2
n379098	NA
n379107	NONHSAT145960.2
n379110	NONHSAT124073.2
n379114	NONHSAT001968.2
n379122	NONHSAT090178.2
n379129	NONHSAT091768.2
n379131	NONHSAT090320.2
n379132	NONHSAT001969.2
n379149	NONHSAT075707.2
n379160	NONHSAT145920.2
n379166	NONHSAT145953.2
n379167	NONHSAT145965.2
n379177	NONHSAT091770.2
n379212	NONHSAT145961.2
n379244	NONHSAT123741.2
n379281	NA
n379288	NONHSAT102617.2
n379293	NONHSAT145950.2
n379300	NONHSAT061386.2
n379304	NONHSAT096694.2
n379310	NONHSAT107637.2
n379327	NONHSAT140999.2
n379336	NONHSAT087446.2
n379340	NA
n379342	NONHSAT047236.2
n379350	NA
n379360	NONHSAT041988.2
n379378	NONHSAT025025.2
n379395	NONHSAT017995.2
n379406	NONHSAT052808.2
n379426	NA
n379436	NONHSAT125160.2
n379442	NONHSAT066046.2
n379454	NONHSAT067541.2
n379459	NONHSAT039454.2
n379466	NA
n379480	NONHSAT131836.2
n379489	NONHSAT026882.2
n379562	NONHSAT135706.2
n379566	NONHSAT048465.2
n379574	NONHSAT098272.2
n379581	NONHSAT016118.2
n379586	NA
n379593	NONHSAT103651.2
n379616	NONHSAT047363.2
n379622	NONHSAT052826.2
n379630	NONHSAT127056.2
n379637	NONHSAT143401.2
